naam;bron_url;eigen_domein;imio_site;pv_url;heeft_pdfs;heeft_jaarpaginas;pdf_count;aanbeveling;opmerkingen
Profondeville;https://www.deliberations.be/profondeville;https://www.profondeville.be;True;;False;False;0;deliberations.be (ongewijzigd);
Provincie Luik - Liège;https://deliberations.be/liege;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Provincie Namen - Namur;https://deliberations.be/namur;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Péruwelz;https://deliberations.be/peruwelz;https://www.peruwelz.be;True;;False;False;0;deliberations.be (ongewijzigd);
Quaregnon;https://www.deliberations.be/quaregnon;https://www.quaregnon.be;True;https://www.quaregnon.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;56;EIGEN SITE: https://www.quaregnon.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;56 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Quiévrain;https://deliberations.be/quievrain;https://www.quievrain.be;True;;False;False;0;deliberations.be (ongewijzigd);
Quévy;https://deliberations.be/quevy;https://www.quevy.be;True;;False;False;0;deliberations.be (ongewijzigd);
Rebecq;https://www.deliberations.be/rebecq;https://www.rebecq.be;True;;False;False;0;deliberations.be (ongewijzigd);
Remicourt;https://www.deliberations.be/remicourt;https://www.remicourt.be;True;https://www.remicourt.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;False;False;0;deliberations.be (ongewijzigd);
Rendeux;https://www.deliberations.be/rendeux;https://www.rendeux.be;True;;False;False;0;deliberations.be (ongewijzigd);
Rixensart;https://www.deliberations.be/rixensart;https://www.rixensart.be;True;;False;False;0;deliberations.be (ongewijzigd);
Rochefort;https://www.deliberations.be/rochefort;https://www.rochefort.be;True;;False;False;0;deliberations.be (ongewijzigd);
Rouvroy;https://www.deliberations.be/rouvroy;https://www.rouvroy.be;True;;False;False;0;deliberations.be (ongewijzigd);
Saint-Georges-sur-Meuse;https://www.deliberations.be/saint-georges-sur-meuse;https://www.saint-georges-sur-meuse.be;True;https://www.saint-georges-sur-meuse.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;False;False;0;deliberations.be (ongewijzigd);
Saint-Ghislain;https://www.deliberations.be/saint-ghislain;https://www.saint-ghislain.be;True;https://www.saint-ghislain.be/ma-ville/vie-politique/conseil-communal/proces-verbaux;True;False;59;EIGEN SITE: https://www.saint-ghislain.be/ma-ville/vie-politique/conseil-communal/proces-verbaux;59 PDF(s) gevonden (pad: /ma-ville/vie-politique/conseil-communal/proces-verbaux)
Saint-Hubert;https://www.deliberations.be/saint-hubert;https://www.saint-hubert.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Saint-Léger;https://deliberations.be/saint-leger;https://www.saint-leger.be;True;;False;False;0;deliberations.be (ongewijzigd);
Sainte-Ode;https://www.deliberations.be/sainte-ode;https://www.sainte-ode.be;True;;False;False;0;deliberations.be (ongewijzigd);
Sambreville;https://www.deliberations.be/sambreville;https://www.sambreville.be;True;;False;False;0;deliberations.be (ongewijzigd);
Seneffe;https://www.deliberations.be/seneffe;https://www.seneffe.be;True;;False;False;0;deliberations.be (ongewijzigd);
Seraing;https://www.deliberations.be/seraing;https://www.seraing.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Sivry-Rance;https://www.deliberations.be/sivry-rance;https://www.sivry-rance.be;True;;False;False;0;deliberations.be (ongewijzigd);
Soignies;https://www.deliberations.be/soignies;https://www.soignies.be;True;https://www.soignies.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);
